comments_count,attitudes_count,reposts_count,region_name,screen_name,topic_struct,text_raw
0,0,0,广西,猪霸苍穹,烽火问鼎计划;美国鱼鹰倾转旋翼机第一摔;热们话题创作激励计划,烽火问鼎计划 1991年：一架原型 V22 鱼鹰倾转旋翼机编号163915。 在美国特拉华州进行测试时坠毁。两名机组人员幸存。左侧发动机舱在悬停时撞到地面，弹跳并起火。这是鱼鹰开发计划的一系列有争议的事故中的第一起。美国鱼鹰倾转旋翼机第一摔热们话题创作激励计划
0,0,0,未知,小白-看财经,茅台飞天系列全线暴跌;专家称中国不会像日本那样长期通缩,【茅台飞天系列全线暴跌业内称“黄牛”集体反水】端午这天，飞天系列全线暴跌。据不二酱平台发布的信息，2023—2024年原箱跌5元—10元瓶，2024年散瓶跌价40元瓶；生肖系列，兔年、虎年、猪年跌价30元—50元瓶，鼠年和猴年暴跌100元—200元瓶；其他系列，三十年跌100元瓶。据业内传来的消息称，近日，“黄牛”集体反水。“撸毛圈”因茅台酒价格近期持续大幅杀跌和电商的一些游戏规则，纷纷发起反击。短时间内，就有几万黄牛在酒品行全部申请开票。有黄牛在微信群称：“让电商砸黄牛的碗，那我们就砸他们的锅。”市场上甚至传出quot黄牛党quot跑路的消息。对于贵州茅台股价开盘后持续走跌现象，贵州茅台回应，公司已注意到股价波动，会“实时关注”，目前生产经营正常。专家称中国不会像日本那样长期通缩茅台批价持续下跌
0,5,1,未知,新华社,非遗火壶表演惊艳全场;中国人还有多少隐藏技能,【非遗火壶表演惊艳全场】近日，浙江，端午节期间，一场非遗火壶表演在湖州长兴太湖古镇上演。舞台中间，热烈的火光与壶影相映成趣，展现了非遗技艺的独特魅力。网友：中国人还有多少隐藏技能（记者：林光耀）
0,0,0,未知,新浪热点,南宁一化工厂发生火灾,【南宁一化工厂发生火灾现场火势猛烈黑烟滚滚】6月11日上午9时许，广西南宁泰麓化工厂发生火灾，现场浓烟滚滚，火势猛烈。目击者称，现场火势很大，他站在远处拍摄时，道路已经被封锁。12时许，记者从当地消防部门获悉，火灾已被扑灭，未造成人员伤亡，该工厂也并不是石油厂。随后记者通过工商信息网站查询到，该厂经营范围包含润滑油和润滑脂等产品。（百姓关注）
0,0,1,未知,观察者网,无,【当西方人对中国说“我蛮夷也”，他们心里在想什么？】伍麦叶的熏笼精：上述言论可能会引发有些同胞的得意，以为西方人真的敬畏我们。实际上，那套理论暗藏着一整套的神学涵义：上帝特意设置了中华帝国和中国人，还白给了他们全套的优越文明，是给虔诚信徒们设置了一种目标……只有完成了那项任务，基督徒才算履行了上帝赋予的一项使命。
0,2,0,浙江,Tennis欧阳文升, 中国网球,本周WTA世界前十 No1 斯维亚泰克 No2 高芙 No3 萨巴伦卡 No4 莱巴金娜 …… No7 泡利尼 No8 郑钦文 …… 郑钦文超话 丨 中国网球
0,0,0,天津,道正声远,我有我的young,轻机枪火力全开，过瘾！我有我的young
0,0,0,未知,财经评论,iPhone15有五种充电上限了,【300秒速览WWDC24：苹果智能登场，Siri更聪明了】美国当地时间6月10日，一年一度的苹果开发者大会正式举行。本届WWDC亮点频出：“苹果智能”、更聪明的Siri、国行Vision Pro、联手OpenAI……iPhone15有五种充电上限了
0,0,0,广西,猪霸苍穹,动物世界;热们话题创作激励计划,动物世界动物世界之猎杀。 热们话题创作激励计划
0,0,0,未知,文旅开封,河南安全生产月,河南安全生产月 夏季高温会给安全生产工作，带来哪些隐患？又该如何防范？这份安全生产说明书请收好！河南省应急管理厅
