comments_count,attitudes_count,reposts_count,region_name,screen_name,topic_struct,text_raw
1096,61721,1123,广州,蒙牛瑞哺恩,"<span class=""url-icon""><img alt=[哪吒得意] src=""https://h5.sinaimg.cn/m/emoticon/icon/movies/nezha_2deyi-5466845c23.png"" style=""width:1em; height:1em;"" /></span>哪吒肉身重塑，但是材料不够？<span class=""url-icon""><img alt=[疑问] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yiwen-40c066d5c3.png"" style=""width:1em; height:1em;"" /></span>幸亏有仙家法宝<a href='/n/蒙牛瑞哺恩'>@蒙牛瑞哺恩</a> 来帮忙<span class=""url-icon""><img alt=[加油] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_jiayou-a34ced0409.png"" style=""width:1em; height:1em;"" /></span>终于能和大家一起风火开年，大闹新春啦～<span class=""url-icon""><img alt=[红灯笼] src=""https://h5.sinaimg.cn/m/emoticon/icon/_/cp_hong-2c246d74b2.png"" style=""width:1em; height:1em;"" /></span><br /><br /><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%92%E8%82%89%E8%82%89%E8%82%89%E5%9B%9E%E6%9D%A5%E4%BA%86%23&extparam=%23%E5%93%AA%E5%90%92%E8%82%89%E8%82%89%E8%82%89%E5%9B%9E%E6%9D%A5%E4%BA%86%23"" data-hide=""""><span class=""surl-text"">#哪吒肉肉肉回来了#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%90%92%E5%AE%9E%E9%95%BF%E8%82%89%E9%80%89%E7%91%9E%E5%93%BA%E6%81%A9%23&extparam=%23%E5%90%92%E5%AE%9E%E9%95%BF%E8%82%89%E9%80%89%E7%91%9E%E5%93%BA%E6%81%A9%23"" data-hide=""""><span class=""surl-text"">#吒实长肉选瑞哺恩#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%92%E7%A5%9D%E4%BD%A0%E8%A6%81%E5%BC%BA%E4%BA%8B%E4%BA%8B%E7%89%9B%23&extparam=%23%E5%93%AA%E5%90%92%E7%A5%9D%E4%BD%A0%E8%A6%81%E5%BC%BA%E4%BA%8B%E4%BA%8B%E7%89%9B%23"" data-hide=""""><span class=""surl-text"">#哪吒祝你要强事事牛#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E8%92%99%E7%89%9B%E6%90%BA%E6%89%8B%E6%98%A5%E8%8A%82%E5%A4%A7%E7%89%87%E5%93%AA%E5%90%922%23&extparam=%23%E8%92%99%E7%89%9B%E6%90%BA%E6%89%8B%E6%98%A5%E8%8A%82%E5%A4%A7%E7%89%87%E5%93%AA%E5%90%922%23"" data-hide=""""><span class=""surl-text"">#蒙牛携手春节大片哪吒2#</span></a> <a  href=""https://video.weibo.com/show?fid=1034:5122810289520662"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">蒙牛瑞哺恩的微博视频</span></a> ",哪吒肉身重塑，但是材料不够？幸亏有仙家法宝 来帮忙终于能和大家一起风火开年，大闹新春啦～#哪吒肉肉肉回来了##吒实长肉选瑞哺恩##哪吒祝你要强事事牛##蒙牛携手春节大片哪吒2# 蒙牛瑞哺恩的微博视频 
30,21,22,郑州,河南消防,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%92%8C%E5%93%AA%E5%90%92%E4%B8%80%E8%B5%B7%E5%AD%A6%E6%B6%88%E9%98%B2%E5%AE%89%E5%85%A8%E7%9F%A5%E8%AF%86%23&extparam=%23%E5%92%8C%E5%93%AA%E5%90%92%E4%B8%80%E8%B5%B7%E5%AD%A6%E6%B6%88%E9%98%B2%E5%AE%89%E5%85%A8%E7%9F%A5%E8%AF%86%23"" data-hide=""""><span class=""surl-text"">#和哪吒一起学消防安全知识#</span></a> 儿童玩火很危险，水域危险莫靠近，消防器材莫乱动......消防常识用心记，快和哪吒一起学习消防安全知识吧。<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23&extparam=%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23"" data-hide=""""><span class=""surl-text"">#哪吒2全球影史票房第10#</span></a> <a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%922%E5%86%B2%E9%A1%B6%E5%85%A8%E7%90%83%E5%8A%A8%E7%94%BB%E6%A6%9C%23&extparam=%23%E5%93%AA%E5%90%922%E5%86%B2%E9%A1%B6%E5%85%A8%E7%90%83%E5%8A%A8%E7%94%BB%E6%A6%9C%23"" data-hide=""""><span class=""surl-text"">#哪吒2冲顶全球动画榜#</span></a> <a  href=""https://video.weibo.com/show?fid=1034:5135059976650788"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">河南消防的微博视频</span></a> ",#和哪吒一起学消防安全知识# 儿童玩火很危险，水域危险莫靠近，消防器材莫乱动......消防常识用心记，快和哪吒一起学习消防安全知识吧。#哪吒2全球影史票房第10# #哪吒2冲顶全球动画榜# 河南消防的微博视频 
0,0,0,武汉,旧夢猫痣,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23&extparam=%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23"" data-hide=""""><span class=""surl-text"">#哪吒2全球影史票房第10#</span></a>哇塞哇塞恭喜恭喜 太厉害了 没有看的赶紧去看<span class=""url-icon""><img alt=[加油] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_jiayou-a34ced0409.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[加油] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_jiayou-a34ced0409.png"" style=""width:1em; height:1em;"" /></span> ",#哪吒2全球影史票房第10#哇塞哇塞恭喜恭喜 太厉害了 没有看的赶紧去看 
0,0,0,东莞,比比灵兔,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23&extparam=%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23"" data-hide=""""><span class=""surl-text"">#哪吒2全球影史票房第10#</span></a>太厉害了！ ",#哪吒2全球影史票房第10#太厉害了！ 
0,0,0,北京,懒豆大王驾到,"WC 咋真有啊<span class=""url-icon""><img alt=[吃惊] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_chijing-59b444adb6.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[吃惊] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_chijing-59b444adb6.png"" style=""width:1em; height:1em;"" /></span>  给我阅读量给我阅读量给我阅读量给我阅读量给我阅读量给我阅读量给我阅读量给我阅读量本人急用钱，转让雪碧一瓶。上个月1号买的 ，才喝了一小口，里面还有很多气，平时一直放在冰箱里面，没舍得喝。九成新，假一赔十，真心好喝，价格私聊。买不起的帮我宣传可以，但别捣乱。 ...<a href=""/status/5135108501410935"">全文</a>",WC 咋真有啊  给我阅读量给我阅读量给我阅读量给我阅读量给我阅读量给我阅读量给我阅读量给我阅读量本人急用钱，转让雪碧一瓶。上个月1号买的 ，才喝了一小口，里面还有很多气，平时一直放在冰箱里面，没舍得喝。九成新，假一赔十，真心好喝，价格私聊。买不起的帮我宣传可以，但别捣乱。 ...全文
0,0,0,泰安,幸存冰岛玫瑰,终于有空去看哪吒了 好看到想立马二刷！ ,终于有空去看哪吒了 好看到想立马二刷！ 
0,0,0,唐山,果C_时光,<a href='/n/电影哪吒之魔童闹海'>@电影哪吒之魔童闹海</a> 知道观众是因为什么纷纷走进电影院的吗？炒太过了容易遭反噬 , 知道观众是因为什么纷纷走进电影院的吗？炒太过了容易遭反噬 
0,0,0,定西,盛夏的蝉鸣99,"欧耶(*´I`*)哪吒2票房破120亿啦！ “神秘的东方来了两个奇怪的人” <a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E5%89%8D5%E6%9C%89%E4%B8%A4%E4%B8%AA%E5%93%AA%E5%90%92%23&extparam=%23%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E5%89%8D5%E6%9C%89%E4%B8%A4%E4%B8%AA%E5%93%AA%E5%90%92%23"" data-hide=""""><span class=""surl-text"">#影史票房前5有两个哪吒#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%92%E7%A5%A8%E6%88%BF%23&extparam=%23%E5%93%AA%E5%90%92%E7%A5%A8%E6%88%BF%23"" data-hide=""""><span class=""surl-text"">#哪吒票房#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%92%E4%B9%8B%E9%AD%94%E7%AB%A5%E9%97%B9%E6%B5%B7+%EF%BB%BF%23&extparam=%23%E5%93%AA%E5%90%92%E4%B9%8B%E9%AD%94%E7%AB%A5%E9%97%B9%E6%B5%B7+%EF%BB%BF%23"" data-hide=""""><span class=""surl-text"">#哪吒之魔童闹海 ﻿#</span></a> ",欧耶(*´I`*)哪吒2票房破120亿啦！ “神秘的东方来了两个奇怪的人” #影史票房前5有两个哪吒##哪吒票房##哪吒之魔童闹海 ﻿# 
0,0,0,合肥,安徽视讯,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23&extparam=%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23"" data-hide=""""><span class=""surl-text"">#哪吒2全球影史票房第10#</span></a> 【<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%922%E6%B5%B7%E6%8A%A5%E6%89%91%E5%85%8B%E7%89%8C%E5%A4%9A%E5%AE%B6%E5%BA%97%E9%93%BA%E9%94%80%E9%87%8F%E8%BF%87%E4%B8%87%23&extparam=%23%E5%93%AA%E5%90%922%E6%B5%B7%E6%8A%A5%E6%89%91%E5%85%8B%E7%89%8C%E5%A4%9A%E5%AE%B6%E5%BA%97%E9%93%BA%E9%94%80%E9%87%8F%E8%BF%87%E4%B8%87%23"" data-hide=""""><span class=""surl-text"">#哪吒2海报扑克牌多家店铺销量过万#</span></a>】<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%922%E6%9A%82%E6%9C%AA%E5%9B%9E%E5%BA%94%E6%B5%B7%E6%8A%A5%E6%89%91%E5%85%8B%E7%89%8C%E6%98%AF%E5%90%A6%E4%BE%B5%E6%9D%83%23&extparam=%23%E5%93%AA%E5%90%922%E6%9A%82%E6%9C%AA%E5%9B%9E%E5%BA%94%E6%B5%B7%E6%8A%A5%E6%89%91%E5%85%8B%E7%89%8C%E6%98%AF%E5%90%A6%E4%BE%B5%E6%9D%83%23"" data-hide=""""><span class=""surl-text"">#哪吒2暂未回应海报扑克牌是否侵权#</span></a>近日，国产动画电影《哪吒之魔童闹海》持续爆火，继而带动许多周边产品畅销。2月17日上午，记者浏览多家网购平台，发现有多个店铺正在出售导演饺子手绘海报做成的扑克牌，价格在2元至8元不等，部分店 ...<a href=""/status/5135108484630763"">全文</a>",#哪吒2全球影史票房第10# 【#哪吒2海报扑克牌多家店铺销量过万#】#哪吒2暂未回应海报扑克牌是否侵权#近日，国产动画电影《哪吒之魔童闹海》持续爆火，继而带动许多周边产品畅销。2月17日上午，记者浏览多家网购平台，发现有多个店铺正在出售导演饺子手绘海报做成的扑克牌，价格在2元至8元不等，部分店 ...全文
0,0,0,青岛,莱西融媒,"【太酷了！<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%95%96%E5%85%89%E5%90%8C%E6%AC%BE%E9%93%A0%E7%94%B2%E8%A2%AB%E5%81%9A%E5%87%BA%E6%9D%A5%E4%BA%86%23&extparam=%23%E6%95%96%E5%85%89%E5%90%8C%E6%AC%BE%E9%93%A0%E7%94%B2%E8%A2%AB%E5%81%9A%E5%87%BA%E6%9D%A5%E4%BA%86%23"" data-hide=""""><span class=""surl-text"">#敖光同款铠甲被做出来了#</span></a>！】伴随电影《哪吒2》票房一路高歌猛进，传统服饰爱好者赵建美使用木棍、橡皮泥等生活中常见的材料，用7天时间和孩子一起打造出一套“敖光”同款铠甲，这些充满国风元素的服饰引发网友关注和点赞。网友：<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%922%E5%91%A8%E8%BE%B9%E5%B7%B2%E5%B8%85%E5%88%B0nextlevel%E4%BA%86%23&extparam=%23%E5%93%AA%E5%90%922%E5%91%A8%E8%BE%B9%E5%B7%B2%E5%B8%85%E5%88%B0nextlevel%E4%BA%86%23"" data-hide=""""><span class=""surl-text"">#哪吒2周边已帅到nextlevel了#</span></a> <a  href=""https://video.weibo.com/show?fid=1034:5135036614115330"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">新华社的微博视频</span></a> ",【太酷了！#敖光同款铠甲被做出来了#！】伴随电影《哪吒2》票房一路高歌猛进，传统服饰爱好者赵建美使用木棍、橡皮泥等生活中常见的材料，用7天时间和孩子一起打造出一套“敖光”同款铠甲，这些充满国风元素的服饰引发网友关注和点赞。网友：#哪吒2周边已帅到nextlevel了# 新华社的微博视频 
