comments_count,attitudes_count,reposts_count,region_name,screen_name,topic_struct,content
361,898,219,江苏,喜脉洗脉,逆水寒 剑网三,逆水寒 剑网三 直播间读这种评论真的很无语，真就互联网谁都逃不过批斗呗？开了眼了，以后看谁还敢在你官博底下留言，有引流的时间不如把你游那些黄牛处理一下吧
159,7788,2236,,新浪电影,邵艺辉导协发言,邵艺辉导协发言 凭《爱情神话》获得导协2021年度青年导演、年度编剧荣誉的邵艺辉在台上两次发表感言，以自身经历激励所有女性创作者：“我们可以不用像男人一样去拍电影，也不用充满男子气概，你也可以像我一样非常柔弱、平和，也不用骂一句话、发一次火，去拍一部电影。”她也呼吁行业更加尊重编剧
577,4698,1654,四川,周杰伦微博资讯,0,周杰伦 王俊凯 合唱《星晴》完整版 太羡慕现场的歌迷了！泪泪
103,26,1,山东,出收物修炼手测,0,【】还愿 出掉了我最后一点次卡虽然是用超级甩卖价
94,869,153,山东,Honeyconch,时代少年团看镜头,时代少年团看镜头 大明星天生的镜头感 喜欢…像小鹿眼睛一样特别清澈灵动。
334,11272,1077,河南,一袋牛乳,0,𝗖𝗮𝗹𝗶𝗰𝗼 𝗰𝗮𝘁三花猫
91,2546,31,河北,影视综艺君,杨紫视频BGM用了亚比囧囧囧,杨紫视频BGM用了亚比囧囧囧杨紫视频bgm用了邓超的亚比囧囧囧，真的好适配啊，可爱的学姐杨紫呀送花花
83,417,64,北京,李大锤同学,余承东首次直播智驾问界新M7 Ultra,余承东首次直播智驾问界新M7 Ultra开车接送用户到交付中心，亲自为首批用户交付了问界新M7 Ultra问界新M7Ultra首交仪式排面拉满。在直播过程中，他全面展示了华为ADS 20成熟的城区智驾功能，真正意义上0接管。
2,26,2,浙江,叶建勛,透过窗口看中国,透过窗口看中国乌鲁木齐交警妈妈参加“六一”亲子运动会意外走红网络，网友直呼：一级警司，太漂亮了中国超话乌鲁木齐交警妈妈
54,474,5,河北,心心的皮夹克,0,张兰有多喜欢马小梅呢？这也太宠了！ 有粉丝说汪小菲新任老婆马小梅和汪小菲的前丈母娘长得像，张兰直播时表示，那可不像啊，那8辈子都赶不上我儿媳妇啊，今天大喜事儿的，别说这个不吉利啊，别提别提不吉利。
242,572,263,广东,彬彬不冰,广东的猫有多讨厌下雨天,广东的猫有多讨厌下雨天 广东的猫不是在避雨就是在避雨的路上 别随便给宠物定制抱枕 镜头下的笑容
