comments_count,attitudes_count,reposts_count,region_name,screen_name,topic_struct,text_raw
1092,61485,1119,广州,蒙牛瑞哺恩,"<span class=""url-icon""><img alt=[哪吒得意] src=""https://h5.sinaimg.cn/m/emoticon/icon/movies/nezha_2deyi-5466845c23.png"" style=""width:1em; height:1em;"" /></span>哪吒肉身重塑，但是材料不够？<span class=""url-icon""><img alt=[疑问] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yiwen-40c066d5c3.png"" style=""width:1em; height:1em;"" /></span>幸亏有仙家法宝<a href='/n/蒙牛瑞哺恩'>@蒙牛瑞哺恩</a> 来帮忙<span class=""url-icon""><img alt=[加油] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_jiayou-a34ced0409.png"" style=""width:1em; height:1em;"" /></span>终于能和大家一起风火开年，大闹新春啦～<span class=""url-icon""><img alt=[红灯笼] src=""https://h5.sinaimg.cn/m/emoticon/icon/_/cp_hong-2c246d74b2.png"" style=""width:1em; height:1em;"" /></span><br /><br /><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%92%E8%82%89%E8%82%89%E8%82%89%E5%9B%9E%E6%9D%A5%E4%BA%86%23&extparam=%23%E5%93%AA%E5%90%92%E8%82%89%E8%82%89%E8%82%89%E5%9B%9E%E6%9D%A5%E4%BA%86%23"" data-hide=""""><span class=""surl-text"">#哪吒肉肉肉回来了#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%90%92%E5%AE%9E%E9%95%BF%E8%82%89%E9%80%89%E7%91%9E%E5%93%BA%E6%81%A9%23&extparam=%23%E5%90%92%E5%AE%9E%E9%95%BF%E8%82%89%E9%80%89%E7%91%9E%E5%93%BA%E6%81%A9%23"" data-hide=""""><span class=""surl-text"">#吒实长肉选瑞哺恩#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%92%E7%A5%9D%E4%BD%A0%E8%A6%81%E5%BC%BA%E4%BA%8B%E4%BA%8B%E7%89%9B%23&extparam=%23%E5%93%AA%E5%90%92%E7%A5%9D%E4%BD%A0%E8%A6%81%E5%BC%BA%E4%BA%8B%E4%BA%8B%E7%89%9B%23"" data-hide=""""><span class=""surl-text"">#哪吒祝你要强事事牛#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E8%92%99%E7%89%9B%E6%90%BA%E6%89%8B%E6%98%A5%E8%8A%82%E5%A4%A7%E7%89%87%E5%93%AA%E5%90%922%23&extparam=%23%E8%92%99%E7%89%9B%E6%90%BA%E6%89%8B%E6%98%A5%E8%8A%82%E5%A4%A7%E7%89%87%E5%93%AA%E5%90%922%23"" data-hide=""""><span class=""surl-text"">#蒙牛携手春节大片哪吒2#</span></a> <a  href=""https://video.weibo.com/show?fid=1034:5122810289520662"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">蒙牛瑞哺恩的微博视频</span></a> ",哪吒肉身重塑，但是材料不够？幸亏有仙家法宝 来帮忙终于能和大家一起风火开年，大闹新春啦～#哪吒肉肉肉回来了##吒实长肉选瑞哺恩##哪吒祝你要强事事牛##蒙牛携手春节大片哪吒2# 蒙牛瑞哺恩的微博视频 
1,4,0,广州,森罗万象GOODSFUN,"🎉森罗万象祝贺《哪吒之魔童闹海》进入全球票房榜TOP10！是中国首部！也是亚洲首部！ 🔥期待哪吒一路驰骋，在票房榜上继续拼杀！步步生莲！ 🎉哪吒正版授权文具系列即将接力亮相！敬请期待！  <a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E5%89%8D10%23&extparam=%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E5%89%8D10%23"" data-hide=""""><span class=""surl-text"">#哪吒2全球影史前10#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%92%E4%B9%8B%E9%AD%94%E7%AB%A5%E9%97%B9%E6%B5%B7%23&extparam=%23%E5%93%AA%E5%90%92%E4%B9%8B%E9%AD%94%E7%AB%A5%E9%97%B9%E6%B5%B7%23"" data-hide=""""><span class=""surl-text"">#哪吒之魔童闹海#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%92%E4%B9%8B%E9%AD%94%E7%AB%A5%E9%97%B9%E6%B5%B7%E7%94%B5%E5%BD%B1%E5%AE%98%E6%96%B9%E5%91%A8%E8%BE%B9%23&extparam=%23%E5%93%AA%E5%90%92%E4%B9%8B%E9%AD%94%E7%AB%A5%E9%97%B9%E6%B5%B7%E7%94%B5%E5%BD%B1%E5%AE%98%E6%96%B9%E5%91%A8%E8%BE%B9%23"" data-hide=""""><span class=""surl-text"">#哪吒之魔童闹海电影官方周边#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%922%E6%99%92%E5%90%84%E7%A7%8DNumber1%23&extparam=%23%E5%93%AA%E5%90%922%E6%99%92%E5%90%84%E7%A7%8DNumber1%23"" data-hide=""""><span class=""surl-text"">#哪吒2晒各种Number1#</span></a> ...<a href=""/status/5135101611213441"">全文</a>",🎉森罗万象祝贺《哪吒之魔童闹海》进入全球票房榜TOP10！是中国首部！也是亚洲首部！ 🔥期待哪吒一路驰骋，在票房榜上继续拼杀！步步生莲！ 🎉哪吒正版授权文具系列即将接力亮相！敬请期待！  #哪吒2全球影史前10##哪吒之魔童闹海##哪吒之魔童闹海电影官方周边##哪吒2晒各种Number1# ...全文
0,0,0,西安,Ann安越,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23&extparam=%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23"" data-hide=""""><span class=""surl-text"">#哪吒2全球影史票房第10#</span></a>进入决赛圈了！加油冲！<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%8A%A8%E7%94%BB%E7%94%B5%E5%BD%B1%23&isnewpage=1"" data-hide=""""><span class=""surl-text"">#动画电影#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E6%A6%9C%23&extparam=%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E6%A6%9C%23"" data-hide=""""><span class=""surl-text"">#哪吒2全球影史票房榜#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%8A%A8%E7%94%BB%E7%94%B5%E5%BD%B1%E7%A5%A8%E6%88%BF%E6%A6%9C%E5%89%8D%E5%85%AD%23&extparam=%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%8A%A8%E7%94%BB%E7%94%B5%E5%BD%B1%E7%A5%A8%E6%88%BF%E6%A6%9C%E5%89%8D%E5%85%AD%23"" data-hide=""""><span class=""surl-text"">#哪吒2全球动画电影票房榜前六#</span></a>  ",#哪吒2全球影史票房第10#进入决赛圈了！加油冲！#动画电影##哪吒2全球影史票房榜##哪吒2全球动画电影票房榜前六#  
0,0,0,天津,工程砖家范培祥,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23&extparam=%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23"" data-hide=""""><span class=""surl-text"">#哪吒2全球影史票房第10#</span></a>全球影响力到底怎么样我是不知道，小学校园里这帮孩子的流行语可都跟着哪吒版本走了“写不写作业我自己说了算”<span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png"" style=""width:1em; height:1em;"" /></span> ",#哪吒2全球影史票房第10#全球影响力到底怎么样我是不知道，小学校园里这帮孩子的流行语可都跟着哪吒版本走了“写不写作业我自己说了算” 
0,0,0,金华,w是黎黎A,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23&extparam=%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23"" data-hide=""""><span class=""surl-text"">#哪吒2全球影史票房第10#</span></a> 按国人一惯的风格，前5也不是没可能<span class=""url-icon""><img alt=[羞嗒嗒] src=""https://h5.sinaimg.cn/m/emoticon/icon/lxh/lxh_xiudada-e99552ddb3.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[羞嗒嗒] src=""https://h5.sinaimg.cn/m/emoticon/icon/lxh/lxh_xiudada-e99552ddb3.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[羞嗒嗒] src=""https://h5.sinaimg.cn/m/emoticon/icon/lxh/lxh_xiudada-e99552ddb3.png"" style=""width:1em; height:1em;"" /></span> ",#哪吒2全球影史票房第10# 按国人一惯的风格，前5也不是没可能 
0,0,0,惠州,茱蕙,儿时伙伴 两小无猜[哪吒嘟嘴] ,儿时伙伴 两小无猜[哪吒嘟嘴] 
0,0,0,重庆,玲珑小汤煲,从另一个角度来讲，双方超话充斥着对方的点点滴滴也是另一种甜[哪吒使坏][哪吒使坏] ,从另一个角度来讲，双方超话充斥着对方的点点滴滴也是另一种甜[哪吒使坏][哪吒使坏] 
0,0,0,包头,阿雯ai猪航,"<a  href=""https://m.weibo.cn/p/index?extparam=%E6%98%9F%E8%88%AA&containerid=1008089817fb4961c148b4cd39e45984d7d47e"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://n.sinaimg.cn/photo/5213b46e/20180926/timeline_card_small_super_default.png'></span><span class=""surl-text"">星航</span></a> xh<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%98%9F%E8%88%AA%23"" data-hide=""""><span class=""surl-text"">#星航#</span></a>   妈耶笑死了<span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png"" style=""width:1em; height:1em;"" /></span>，刚在ks上看到有人因为竞速九不出退⭕️了？！！一个人喜欢这个动画片 就因为不出 就退圈<span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png"" style=""width:1em; height:1em;"" /></span> 因为没热度了？就都进哪吒圈了<span class=""url-icon""><img alt=[拜拜] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_baibai-8bfa9c2a4f.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[拜拜] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_baibai-8bfa9c2a4f.png"" style=""width:1em; height:1em;"" /></span> 等着竞速一出又就回来了<span class=""url-icon""><img alt=[裂开] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/fc_liekai-9df295d44f.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[裂开] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/fc_liekai-9df295d44f.png"" style=""width:1em; height:1em;"" /></span> 还怪官方不更新<span class=""url-icon""><img alt=[哈欠] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_dahaqi-b1824d3d83.png"" style=""width:1em; height:1em;"" /></span>这都听你们的那还了得<span class=""url-icon""><img alt=[衰] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_shuai-285d2d97c7.png"" style=""width:1em; height:1em;"" /></span>  <a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E8%BD%A6%E7%A5%9E%E6%98%9F%E8%88%AA%23&extparam=%23%E8%BD%A6%E7%A5%9E%E6%98%9F%E8%88%AA%23"" data-hide=""""><span class=""surl-text"">#车神星航#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%98%9F%E8%88%AA%E7%9A%84%E9%9B%AF%23&extparam=%23%E6%98%9F%E8%88%AA%E7%9A%84%E9%9B%AF%23"" data-hide=""""><span class=""surl-text"">#星航的雯#</span></a> ...<a href=""/status/5135104185994108"">全文</a>",星航 xh#星航#   妈耶笑死了，刚在ks上看到有人因为竞速九不出退⭕️了？！！一个人喜欢这个动画片 就因为不出 就退圈 因为没热度了？就都进哪吒圈了 等着竞速一出又就回来了 还怪官方不更新这都听你们的那还了得  #车神星航##星航的雯# ...全文
0,0,0,深圳,Tin-stitch,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23&extparam=%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23"" data-hide=""""><span class=""surl-text"">#哪吒2全球影史票房第10#</span></a>前天去看电影 还有湾湾人过来看的<span class=""url-icon""><img alt=[doge] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png"" style=""width:1em; height:1em;"" /></span> 看哪吒笑得很大声也哇的很大声<span class=""url-icon""><img alt=[可爱] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_keai-9aae643ce8.png"" style=""width:1em; height:1em;"" /></span> ",#哪吒2全球影史票房第10#前天去看电影 还有湾湾人过来看的 看哪吒笑得很大声也哇的很大声 
0,0,0,沧州,2的很有范儿-,"阿凡达vs 哪吒2  《阿凡达》为了票房冠军，居然4次重映？  被超就重映，这操作真的秀！ 几十块一张电影票，就为了保住冠军宝座？  这波操作真的有点凡尔赛了！ 《哪吒2》非常好看！当年我也很喜欢《阿凡达》！  但现在这无限重映，真的让人无语！吒儿加油！ 你们觉得哪吒2会超越阿凡达吗？ ...<a href=""/status/5135104177083771"">全文</a>",阿凡达vs 哪吒2  《阿凡达》为了票房冠军，居然4次重映？  被超就重映，这操作真的秀！ 几十块一张电影票，就为了保住冠军宝座？  这波操作真的有点凡尔赛了！ 《哪吒2》非常好看！当年我也很喜欢《阿凡达》！  但现在这无限重映，真的让人无语！吒儿加油！ 你们觉得哪吒2会超越阿凡达吗？ ...全文
